Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56894372,Don't Kiss the Bride,Carian Cole,"Cole, Carian",,"=""""","=""""",0,4.08,,Kindle Edition,516,2021,2021,,2021/11/05,to-read,to-read (#66),to-read,,,,0,0
57888401,"Give Me a Reason (Redemption Hills, #1)",A.L. Jackson,"Jackson, A.L.",,"=""1946420557""","=""9781946420558""",2,3.99,A.L. Jackson Books Inc.,Kindle Edition,424,2021,2021,,2021/08/28,,,read,,,,1,0
56653002,"Twisted Games (Twisted, #2)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,4.13,,Kindle Edition,456,2021,2021,,2021/09/03,to-read,to-read (#65),to-read,,,,0,0
38088159,Midnight Blue,L.J. Shen,"Shen, L.J.",,"=""""","=""""",4,4.12,L.J. Shen,Kindle Edition,340,2018,2018,,2021/08/28,,,read,,,,1,0
25564446,"The Air He Breathes (Elements, #1)",Brittainy C. Cherry,"Cherry, Brittainy C.",,"=""""","=""""",5,4.15,BCherry Books,Kindle Edition,308,2015,2015,,2021/08/30,,,read,,,,1,0
34450909,"Scandalous (Sinners of Saint, #3)",L.J. Shen,"Shen, L.J.",,"=""""","=""""",4,4.15,,,315,2017,2017,,2021/04/29,,,read,,,,1,0
19095025,"Play (Stage Dive, #2)",Kylie Scott,"Scott, Kylie",,"=""""","=""""",4,4.25,St. Martin's Griffin,Kindle Edition,306,2014,2014,,2021/08/25,,,read,,,,1,0
19286623,"Lead (Stage Dive, #3)",Kylie Scott,"Scott, Kylie",,"=""1250052386""","=""9781250052384""",5,4.27,St. Martin's Griffin,Paperback,305,2014,2014,,2021/08/21,,,read,,,,1,0
34824451,Endgame (Ocean Bay #1),Chloe Walsh,"Walsh, Chloe",,"=""""","=""""",0,3.99,,Kindle Edition,451,2017,,,2021/08/21,to-read,to-read (#64),to-read,,,,0,0
21408690,"Broken (Redemption, #1)",Lauren Layne,"Layne, Lauren",,"=""055339035X""","=""9780553390353""",0,4.00,Flirt,ebook,252,2014,2014,,2021/08/21,to-read,to-read (#63),to-read,,,,0,0
22843341,Stepbrother Dearest,Penelope Ward,"Ward, Penelope",,"=""1502446936""","=""9781502446930""",5,4.04,CreateSpace Independent Publishing Platform,Paperback,230,2014,2014,,2021/08/20,,,read,,,,1,0
37662640,"Mute (Dragon Runners, #1)",M.L. Nystrom,"Nystrom, M.L.",,"=""1925655466""","=""""",4,4.08,Hot Tree Publishing,Kindle Edition,146,2018,2018,,2021/08/17,,,read,,,,1,0
17167042,"Fighting for Flight (Fighting, #1)",J.B. Salsbury,"Salsbury, J.B.",,"=""1301120189""","=""9781301120185""",3,4.13,JB Salsbury,ebook,449,2013,2013,,2021/08/07,,,read,,,,1,0
17798233,"Rome (Marked Men, #3)",Jay Crownover,"Crownover, Jay",,"=""""","=""""",0,4.19,William Morrow Paperbacks ,Kindle Edition,387,2014,2014,,2021/08/16,to-read,to-read (#62),to-read,,,,0,0
18341046,"Until November (Until, #1)",Aurora Rose Reynolds,"Reynolds, Aurora Rose",,"=""""","=""""",0,4.08,,,291,2013,2013,,2021/08/16,to-read,to-read (#61),to-read,,,,0,0
17285983,"The Rocker That Holds Me (The Rocker, #1)",Terri Anne Browning,"Browning, Terri Anne",,"=""""","=""""",0,3.90,Anna Henson,Kindle Edition,102,2013,2013,,2021/08/16,to-read,to-read (#60),to-read,,,,0,0
25878001,Diary of a Fat Girl,Moira Mugweni,"Mugweni, Moira",,"=""""","=""9781311053268""",3,4.04,Moira Mugweni,ebook,299,2015,2015,,2021/08/12,,,read,,,,1,0
18663120,"Sand Jewels (Wishes, #2.5)",G.J. Walker-Smith,"Walker-Smith, G.J.",,"=""""","=""9780987484574""",4,4.26,GJ Walker-Smith,ebook,81,2013,2013,,2021/08/12,,,read,,,,1,0
